Local Authority,Calendar Year,Agriculture Total,Area (km2),Commercial Total,Domestic Total,Emissions per km2 (kt CO2e),Industry Total,LULUCF Net Emissions,Per Capita Emissions (tCO2e),"Population ('000s, mid-year estimate)",Public Sector Total,Transport Total,Waste Management Total
Barnsley,2005,91.69190306887417,329.0776,186.66937588464913,572.8661272245811,6.2708625599668215,498.1352524810914,-14.486085841042762,9.269692482924732,222.618,60.72070813550236,509.54045347054756,158.46266673953477
Barnsley,2006,88.39924769357373,329.0776,224.81654463605477,564.6309932345621,6.379425602215722,523.3842643676089,-15.173010078203207,9.35449345445664,224.419,64.81483270268207,499.07278084358217,149.38041315584334
Barnsley,2007,86.93813479758941,329.0776,165.97465761898556,543.1996728131991,5.780477680337685,424.388380254798,-16.002509962133182,8.417337666431077,225.989,53.041011253305385,504.1278831285422,140.55849199480627
Barnsley,2008,89.55795442232964,329.0776,177.80625837228982,538.1560536003745,5.751566608265465,428.18477313695496,-17.234743544273996,8.310333674438823,227.754,53.36491113488976,481.70667873623654,141.16984982933852
Barnsley,2009,85.0264769306145,329.0776,151.8302358559363,492.8333253952209,5.112667617310294,358.27300985131745,-17.874168681570627,7.347872408983547,228.973,44.33227728117046,460.1383829974341,107.90484947206815
Barnsley,2010,84.62375364571265,329.0776,146.87810276461926,532.2612159295597,5.390065210693333,412.2421433934688,-17.959948926230915,7.709742958014033,230.066,47.642751886404064,465.6981836142621,102.36352107066068
Barnsley,2011,83.686559452331,329.0776,133.79704781666518,466.79750251814136,4.9502557306505395,367.3843697408609,-18.619231794337672,7.025718738182675,231.865,42.5450052229188,453.73112438345237,99.69589788869392
Barnsley,2012,84.41090750099814,329.0776,161.31255683295507,496.7826042189908,5.157586518700531,403.35501922620506,-18.30539313741504,7.269293999922791,233.48157240364097,48.834507115048346,441.8405443074603,79.01544730208272
Barnsley,2013,80.63158040424027,329.0776,157.13017263337986,486.5830025093928,5.088891449441637,434.21427558636765,-19.492751507441806,7.1187123270065245,235.24481787101166,50.42054210112252,441.12904758547995,44.0243155302345
Barnsley,2014,84.65919513942657,329.0776,132.40184413384182,416.70565004696334,4.641804216382668,393.09327054451603,-19.688861710811747,6.4428400432416835,237.0870269857775,42.619811442665714,444.3055416611227,33.41733993936455
Barnsley,2015,81.24421034903011,329.0776,117.59548255854517,406.08851135263455,4.558059570464788,374.7344885681746,-20.770875454240308,6.278165457571793,238.91617929510915,39.901756308177504,458.6879158639212,42.47381455934033
Barnsley,2016,79.82218732770295,329.0776,105.13609870382774,385.65297866088844,4.426836225328885,360.99469882879936,-19.60602789889846,6.038907129935602,241.23117134934702,34.33440884003896,466.19643440584997,44.24186175607908
Barnsley,2017,81.28530094095186,329.0776,79.86081073012406,369.5488750051695,4.278574603711782,343.50700090133955,-20.355951392824743,5.807150120406461,242.45680459727382,34.84025734024181,472.5048555602109,46.79191292521119
Barnsley,2018,84.77826408761446,329.0776,44.214992648152524,362.92185614174065,4.304925804557822,373.95125603536485,-20.016636345077625,5.811348345408475,243.77383143126346,39.605952100811805,479.92382727594014,51.27513999741046
Barnsley,2019,81.4474469896042,329.0776,42.77468358566652,358.2795895480726,4.211848585026964,356.0691283832814,-20.31776560841089,5.657614424466853,244.98400207869972,35.40161599306064,481.22403071315756,51.14629431963736
Barnsley,2020,77.205963408503,329.0776,36.78997239505985,345.0961318234632,3.746244108598522,326.97567249364545,-20.63103282405197,5.018591857224476,245.6475950514019,33.595276941535055,400.3971476928505,33.37588834073615
Barnsley,2021,79.97420830973577,329.0776,48.23088443059798,353.4896206820537,4.001673797411323,370.58102710490255,-20.544770550863,5.3772921612091995,244.893,36.63932396991486,416.05229436953886,32.438620919123295
Bradford,2005,94.34367792788252,366.4198,428.271654903761,1255.5006033003303,9.955182136246309,715.4593734795377,0.7329048682243878,7.423820464641975,491.361,195.45906602256622,666.7108197452914,291.29774707935184
Bradford,2006,90.18921851111689,366.4198,430.14729712053975,1248.5261406609682,9.759196899722415,690.1814014969962,-0.5388149860310025,7.21457734195132,495.658,184.1887622183259,656.6786862715506,276.5902848634409
Bradford,2007,88.45871693285991,366.4198,418.57969765052496,1202.5597922711113,9.780498126445277,700.6764885589799,-1.2001482370532766,7.148136292886014,501.357,185.80831736174417,658.5151352892453,330.37016756504005
Bradford,2008,86.7731439610251,366.4198,411.11963897231396,1201.6971175324452,9.337887738108547,625.9784141080949,-2.091879961513932,6.744395498371229,507.323,170.86370305803473,636.1964484985144,291.0503712512707
Bradford,2009,84.58940138561574,366.4198,357.5449626668437,1096.3473563549444,8.557497586775472,563.4587463640408,-2.964210167521906,6.1196048225709045,512.392,153.07239806329525,614.8401131489186,268.7477864306142
Bradford,2010,83.12542946769362,366.4198,381.09849787554055,1172.2042757953645,8.84669970244125,613.7227050082693,-3.380145647451154,6.257902354872342,518.002,167.02398990508388,606.195398091284,221.61578513279866
