,Local Authority,Agriculture Total,Area (km2),Commercial Total,Domestic Total,Emissions per km2 (kt CO2e),Industry Total,LULUCF Net Emissions,Per Capita Emissions (tCO2e),"Population ('000s, mid-year estimate)",Public Sector Total,Transport Total,Waste Management Total
0,Barking and Dagenham,19.579120245987223,642.5864,1553.2531614240563,4693.536162866067,409.10681305153815,3000.433753725529,43.10669627019229,82.28284344080431,3276.617268663936,465.0373231653521,3213.4788240070816,2475.485206193435
1,Barnet,74.34254469600128,1474.7210999999998,3601.821681657713,12364.593311806657,330.7416824546468,898.1857214241804,28.46220932925317,79.68509805813592,6189.282138537666,1717.3043678741635,7643.282076325887,2363.2867789665825
2,Bexley,27.661102774187864,1092.8704999999993,2295.186992299153,7289.514848128751,290.76866588089325,3191.273949589584,28.507405024846246,79.9817193779416,4004.543633693533,593.9058500396767,4312.405426017847,954.0442652779943
3,Brent,10.207251445467527,734.9524999999999,3713.265007865157,8663.648628114817,557.3207911411561,2611.7350530861904,50.68225683676988,77.35626769448973,5379.886303119414,1483.0275599533884,4305.373384165844,3256.431961542397
4,Bromley,134.07568024369928,2552.2915999999996,3078.2716996706217,11476.0365672625,156.19209772694236,706.0494464271491,-134.95112972780603,74.80560013614516,5367.002038997585,1182.362261875822,5723.306438169111,1284.7183898938551
5,Camden,53.43881915096796,370.42149999999987,9329.447655719247,6018.169242493337,1154.3872837249776,1526.3038936278517,5.566216869681428,117.9605485412932,3627.399718957952,4746.544759919241,3015.508052062707,458.54307888235854
6,City of London,28.595643622600814,53.5432,16993.88304077774,295.8586220577503,6929.174348941807,1505.3978887148098,4.14485717543924,3034.072382225301,123.74884145576199,1486.7798264289586,1075.353174788187,434.114475861634
7,Croydon,44.228157467497304,1470.4031000000007,4371.553342464373,11755.57868375939,292.648745947779,1039.0325361212583,-21.931557896529515,69.46839025966682,6267.062276129122,1519.0184941444284,5641.349308310562,963.6194622600061
8,Ealing,33.14281981073568,944.2599000000005,4357.678205837402,9559.848632711073,477.2551710172858,3926.9643496477192,56.931183030503824,77.86896081906286,5858.368037733178,1224.3641524313598,5882.460871816644,1467.6050823184014
9,Enfield,72.75663881510009,1397.4034000000001,3238.016306520409,9323.307017036983,307.37287417277594,2379.9467830397653,26.756900582832905,81.06018151536742,5353.614167780816,1136.5997199062076,7866.690055835397,1222.038309840328
10,Greenwich,11.680952836884618,857.5106000000003,3055.437737327524,6858.456545272023,385.47456691646676,1357.2117557680044,17.998808304420365,75.81813450007171,4439.850421490843,1561.8785572873887,5037.130096302988,1544.2365563877981
11,Hackney,4.551809617750377,323.83639999999986,3017.6912553326524,6015.005655703882,741.8190922417477,597.8279604231861,19.785567349438757,58.20128394644253,4185.590493177096,1232.1976714860436,2667.7979734270452,576.2023585915031
12,Hammersmith and Fulham,6.869156676918604,291.61969999999997,4789.945699669742,5281.176438329653,919.254817026967,803.7157526789791,21.811513755822606,87.51964613001378,3073.3667219372783,1778.5199422848348,2814.933802054164,272.0167513121841
13,Haringey,9.304052557692227,503.17109999999997,2623.7750490271073,7341.027227380941,515.4583908678641,917.0560972187152,23.462381695277266,59.91607596149919,4382.076081808287,775.8955508716698,3090.383350733485,475.78838093940885
14,Harrow,22.693502772101695,857.8777999999998,1678.7911020522945,7658.520357980718,294.7321539319172,954.6547538191651,9.945790208637215,61.491422078015496,4172.193756439694,806.7348441135249,3076.8580895020305,664.9881362794416
15,Havering,111.99309354595665,1945.7741000000003,2337.1600031288813,7921.823387684962,190.48189692948523,1109.9418133147483,-2.1773113929803447,90.16003529709822,4149.804431574482,761.1996013404614,7223.1546140112005,2338.948419793941
16,Hillingdon,160.64497322242465,1966.9034000000001,8451.563823307108,8360.046331778505,302.544727580748,2406.9499419786853,-4.367976634109957,126.06243278883721,4801.199242879783,1795.2079060540323,10587.781765064055,3246.6587252673517
17,Hounslow,28.683964854452473,961.9535000000003,6359.026437654404,6986.024880297809,433.1622361513526,1522.6281184063134,41.472984936779056,96.04902026978877,4428.022049136866,1365.5068653856406,6409.340555866075,1798.0179063408896
18,Islington,11.889503245064752,252.56050000000008,6225.9642453989645,5596.295697513316,1161.9776987433106,813.1357543436893,21.71272994603913,85.42727670077524,3491.052885059504,1732.2417831252556,2374.5668918129973,487.115075994667
19,Kensington and Chelsea,47.19568113932121,210.52290000000005,7971.074611450777,5856.422857785549,1600.1331472962306,1441.8142695364274,16.99904054468133,127.21359519308116,2621.1944138147014,1571.3872005968667,2684.4241552880467,226.25103983065785
20,Kingston upon Thames,21.415105071267696,633.4404000000003,2188.0502255237593,5167.45376199529,346.2230400093488,398.2685654835455,27.847436686891925,80.21650146337174,2752.745821259361,795.7366004827581,3982.3096142445897,319.60462890824346
21,Lambeth,13.633080066313509,463.2397999999999,4347.276588863126,8280.309858800178,777.0725790566798,744.4117614954886,32.64495662898215,70.05263972500627,5199.3840471716385,2733.511091963401,4240.33699613737,782.6372017922374
22,Lewisham,5.950607159748017,600.3838999999997,2361.25139751226,7861.850082055996,504.9403702108588,329.1098982519011,35.961535440441814,64.1249776856374,4785.0828800779045,1015.1586088683335,4285.455341107673,1938.0901022294872
23,Merton,17.58221213755229,639.6216000000002,3069.1999269509574,6142.471811676476,384.52700394962744,828.3306275517721,2.731728401627176,71.230074389791,3479.291161422168,606.7760978732636,2819.8827369652763,980.7764766470159
24,Newham,5.026892168901197,655.8276999999998,4833.450345222199,6650.138757575088,644.8897352275118,4801.632461146709,46.03517642835258,82.79291509786128,5249.610682369088,1149.6236497348693,4743.9063606108275,2648.807051693519
25,Redbridge,19.818785728992125,959.5156999999998,1698.0100716135685,8117.836084485022,314.44463185450917,485.0356066228012,16.131014694511343,63.52439518139577,4837.486266204925,989.3290753613805,5161.821902065352,1259.9328150237682
26,Richmond upon Thames,28.457415933588358,998.9437999999998,2339.294416384712,6780.671446605345,254.1368416371851,802.70317400143,-34.130215892129584,79.31972237923246,3223.3937936367756,814.3019775183905,3514.609928994944,687.528462633009
27,Southwark,13.223167121887235,508.52609999999993,8471.931829305207,7035.916543068826,850.2515246622394,1305.2229309781449,20.730139437370514,89.1373317537048,4914.656306906588,2533.660293308828,4265.822466847137,1787.3215626115589
